"","REF_DATE","City","Province","Components.of.population.growth","VALUE","Type.of.area","covid"
"362","2021/2022","Montréal","QC","Emigrants",10616,"CMA","COVID"
"363","2022/2023","Montréal","QC","Emigrants",10089,"CMA","Post-COVID"
"364","2023/2024","Montréal","QC","Emigrants",10383,"CMA","Post-COVID"
"365","2017/2018","Ottawa - Gatineau","Ontario/Quebec","Births",14461,"CMA","Pre-COVID"
"366","2018/2019","Ottawa - Gatineau","Ontario/Quebec","Births",14184,"CMA","Pre-COVID"
"367","2019/2020","Ottawa - Gatineau","Ontario/Quebec","Births",14442,"CMA","Pre-COVID"
"368","2020/2021","Ottawa - Gatineau","Ontario/Quebec","Births",14212,"CMA","COVID"
"369","2021/2022","Ottawa - Gatineau","Ontario/Quebec","Births",14501,"CMA","COVID"
"370","2022/2023","Ottawa - Gatineau","Ontario/Quebec","Births",14147,"CMA","Post-COVID"
"371","2023/2024","Ottawa - Gatineau","Ontario/Quebec","Births",14761,"CMA","Post-COVID"
"372","2017/2018","Ottawa - Gatineau","Ontario/Quebec","Deaths",9747,"CMA","Pre-COVID"
"373","2018/2019","Ottawa - Gatineau","Ontario/Quebec","Deaths",9781,"CMA","Pre-COVID"
"374","2019/2020","Ottawa - Gatineau","Ontario/Quebec","Deaths",10434,"CMA","Pre-COVID"
"375","2020/2021","Ottawa - Gatineau","Ontario/Quebec","Deaths",10219,"CMA","COVID"
"376","2021/2022","Ottawa - Gatineau","Ontario/Quebec","Deaths",10737,"CMA","COVID"
"377","2022/2023","Ottawa - Gatineau","Ontario/Quebec","Deaths",11929,"CMA","Post-COVID"
"378","2023/2024","Ottawa - Gatineau","Ontario/Quebec","Deaths",12367,"CMA","Post-COVID"
"379","2017/2018","Ottawa - Gatineau","Ontario/Quebec","Immigrants",9573,"CMA","Pre-COVID"
"380","2018/2019","Ottawa - Gatineau","Ontario/Quebec","Immigrants",10935,"CMA","Pre-COVID"
"381","2019/2020","Ottawa - Gatineau","Ontario/Quebec","Immigrants",9356,"CMA","Pre-COVID"
"382","2020/2021","Ottawa - Gatineau","Ontario/Quebec","Immigrants",8721,"CMA","COVID"
"383","2021/2022","Ottawa - Gatineau","Ontario/Quebec","Immigrants",18039,"CMA","COVID"
"384","2022/2023","Ottawa - Gatineau","Ontario/Quebec","Immigrants",18906,"CMA","Post-COVID"
"385","2023/2024","Ottawa - Gatineau","Ontario/Quebec","Immigrants",21736,"CMA","Post-COVID"
"386","2017/2018","Ottawa - Gatineau","Ontario/Quebec","Emigrants",4189,"CMA","Pre-COVID"
"387","2018/2019","Ottawa - Gatineau","Ontario/Quebec","Emigrants",4078,"CMA","Pre-COVID"
"388","2019/2020","Ottawa - Gatineau","Ontario/Quebec","Emigrants",3983,"CMA","Pre-COVID"
"389","2020/2021","Ottawa - Gatineau","Ontario/Quebec","Emigrants",3455,"CMA","COVID"
"390","2021/2022","Ottawa - Gatineau","Ontario/Quebec","Emigrants",4862,"CMA","COVID"
"391","2022/2023","Ottawa - Gatineau","Ontario/Quebec","Emigrants",5588,"CMA","Post-COVID"
"392","2023/2024","Ottawa - Gatineau","Ontario/Quebec","Emigrants",5730,"CMA","Post-COVID"
"393","2017/2018","Ottawa - Gatineau","ON","Births",10910,"CMA","Pre-COVID"
"394","2018/2019","Ottawa - Gatineau","ON","Births",10685,"CMA","Pre-COVID"
"395","2019/2020","Ottawa - Gatineau","ON","Births",10939,"CMA","Pre-COVID"
"396","2020/2021","Ottawa - Gatineau","ON","Births",10611,"CMA","COVID"
"397","2021/2022","Ottawa - Gatineau","ON","Births",10853,"CMA","COVID"
"398","2022/2023","Ottawa - Gatineau","ON","Births",10693,"CMA","Post-COVID"
"399","2023/2024","Ottawa - Gatineau","ON","Births",11172,"CMA","Post-COVID"
"400","2017/2018","Ottawa - Gatineau","ON","Deaths",7450,"CMA","Pre-COVID"
"401","2018/2019","Ottawa - Gatineau","ON","Deaths",7410,"CMA","Pre-COVID"
"402","2019/2020","Ottawa - Gatineau","ON","Deaths",8055,"CMA","Pre-COVID"
"403","2020/2021","Ottawa - Gatineau","ON","Deaths",7723,"CMA","COVID"
"404","2021/2022","Ottawa - Gatineau","ON","Deaths",8153,"CMA","COVID"
"405","2022/2023","Ottawa - Gatineau","ON","Deaths",9145,"CMA","Post-COVID"
"406","2023/2024","Ottawa - Gatineau","ON","Deaths",9428,"CMA","Post-COVID"
"407","2017/2018","Ottawa - Gatineau","ON","Immigrants",7959,"CMA","Pre-COVID"
"408","2018/2019","Ottawa - Gatineau","ON","Immigrants",9243,"CMA","Pre-COVID"
"409","2019/2020","Ottawa - Gatineau","ON","Immigrants",8113,"CMA","Pre-COVID"
"410","2020/2021","Ottawa - Gatineau","ON","Immigrants",7707,"CMA","COVID"
"411","2021/2022","Ottawa - Gatineau","ON","Immigrants",16325,"CMA","COVID"
"412","2022/2023","Ottawa - Gatineau","ON","Immigrants",16823,"CMA","Post-COVID"
"413","2023/2024","Ottawa - Gatineau","ON","Immigrants",19238,"CMA","Post-COVID"
"414","2017/2018","Ottawa - Gatineau","ON","Emigrants",3854,"CMA","Pre-COVID"
"415","2018/2019","Ottawa - Gatineau","ON","Emigrants",3699,"CMA","Pre-COVID"
"416","2019/2020","Ottawa - Gatineau","ON","Emigrants",3641,"CMA","Pre-COVID"
"417","2020/2021","Ottawa - Gatineau","ON","Emigrants",3138,"CMA","COVID"
"418","2021/2022","Ottawa - Gatineau","ON","Emigrants",4256,"CMA","COVID"
"419","2022/2023","Ottawa - Gatineau","ON","Emigrants",5094,"CMA","Post-COVID"
"420","2023/2024","Ottawa - Gatineau","ON","Emigrants",5223,"CMA","Post-COVID"
"421","2017/2018","Ottawa - Gatineau","QC","Births",3551,"CMA","Pre-COVID"
"422","2018/2019","Ottawa - Gatineau","QC","Births",3499,"CMA","Pre-COVID"
"423","2019/2020","Ottawa - Gatineau","QC","Births",3503,"CMA","Pre-COVID"
"424","2020/2021","Ottawa - Gatineau","QC","Births",3601,"CMA","COVID"
"425","2021/2022","Ottawa - Gatineau","QC","Births",3648,"CMA","COVID"
"426","2022/2023","Ottawa - Gatineau","QC","Births",3454,"CMA","Post-COVID"
"427","2023/2024","Ottawa - Gatineau","QC","Births",3589,"CMA","Post-COVID"
"428","2017/2018","Ottawa - Gatineau","QC","Deaths",2297,"CMA","Pre-COVID"
"429","2018/2019","Ottawa - Gatineau","QC","Deaths",2371,"CMA","Pre-COVID"
"430","2019/2020","Ottawa - Gatineau","QC","Deaths",2379,"CMA","Pre-COVID"
"431","2020/2021","Ottawa - Gatineau","QC","Deaths",2496,"CMA","COVID"
"432","2021/2022","Ottawa - Gatineau","QC","Deaths",2584,"CMA","COVID"
"433","2022/2023","Ottawa - Gatineau","QC","Deaths",2784,"CMA","Post-COVID"
"434","2023/2024","Ottawa - Gatineau","QC","Deaths",2939,"CMA","Post-COVID"
"435","2017/2018","Ottawa - Gatineau","QC","Immigrants",1614,"CMA","Pre-COVID"
"436","2018/2019","Ottawa - Gatineau","QC","Immigrants",1692,"CMA","Pre-COVID"
"437","2019/2020","Ottawa - Gatineau","QC","Immigrants",1243,"CMA","Pre-COVID"
"438","2020/2021","Ottawa - Gatineau","QC","Immigrants",1014,"CMA","COVID"
"439","2021/2022","Ottawa - Gatineau","QC","Immigrants",1714,"CMA","COVID"
"440","2022/2023","Ottawa - Gatineau","QC","Immigrants",2083,"CMA","Post-COVID"
"441","2023/2024","Ottawa - Gatineau","QC","Immigrants",2498,"CMA","Post-COVID"
"442","2017/2018","Ottawa - Gatineau","QC","Emigrants",335,"CMA","Pre-COVID"
"443","2018/2019","Ottawa - Gatineau","QC","Emigrants",379,"CMA","Pre-COVID"
"444","2019/2020","Ottawa - Gatineau","QC","Emigrants",342,"CMA","Pre-COVID"
"445","2020/2021","Ottawa - Gatineau","QC","Emigrants",317,"CMA","COVID"
"446","2021/2022","Ottawa - Gatineau","QC","Emigrants",606,"CMA","COVID"
"447","2022/2023","Ottawa - Gatineau","QC","Emigrants",494,"CMA","Post-COVID"
"448","2023/2024","Ottawa - Gatineau","QC","Emigrants",507,"CMA","Post-COVID"
"449","2017/2018","Kingston","ON","Births",1452,"CMA","Pre-COVID"
"450","2018/2019","Kingston","ON","Births",1471,"CMA","Pre-COVID"
"451","2019/2020","Kingston","ON","Births",1433,"CMA","Pre-COVID"
"452","2020/2021","Kingston","ON","Births",1458,"CMA","COVID"
"453","2021/2022","Kingston","ON","Births",1515,"CMA","COVID"
"454","2022/2023","Kingston","ON","Births",1386,"CMA","Post-COVID"
"455","2023/2024","Kingston","ON","Births",1448,"CMA","Post-COVID"
"456","2017/2018","Kingston","ON","Deaths",1520,"CMA","Pre-COVID"
"457","2018/2019","Kingston","ON","Deaths",1585,"CMA","Pre-COVID"
"458","2019/2020","Kingston","ON","Deaths",1687,"CMA","Pre-COVID"
"459","2020/2021","Kingston","ON","Deaths",1592,"CMA","COVID"
"460","2021/2022","Kingston","ON","Deaths",1772,"CMA","COVID"
"461","2022/2023","Kingston","ON","Deaths",1797,"CMA","Post-COVID"
"462","2023/2024","Kingston","ON","Deaths",1854,"CMA","Post-COVID"
"463","2017/2018","Kingston","ON","Immigrants",500,"CMA","Pre-COVID"
"464","2018/2019","Kingston","ON","Immigrants",446,"CMA","Pre-COVID"
"465","2019/2020","Kingston","ON","Immigrants",418,"CMA","Pre-COVID"
"466","2020/2021","Kingston","ON","Immigrants",388,"CMA","COVID"
"467","2021/2022","Kingston","ON","Immigrants",1053,"CMA","COVID"
"468","2022/2023","Kingston","ON","Immigrants",916,"CMA","Post-COVID"
"469","2023/2024","Kingston","ON","Immigrants",1025,"CMA","Post-COVID"
"470","2017/2018","Kingston","ON","Emigrants",569,"CMA","Pre-COVID"
"471","2018/2019","Kingston","ON","Emigrants",561,"CMA","Pre-COVID"
"472","2019/2020","Kingston","ON","Emigrants",352,"CMA","Pre-COVID"
"473","2020/2021","Kingston","ON","Emigrants",360,"CMA","COVID"
"474","2021/2022","Kingston","ON","Emigrants",646,"CMA","COVID"
"475","2022/2023","Kingston","ON","Emigrants",637,"CMA","Post-COVID"
"476","2023/2024","Kingston","ON","Emigrants",656,"CMA","Post-COVID"
"477","2017/2018","Belleville - Quinte West","ON","Births",1044,"CMA","Pre-COVID"
"478","2018/2019","Belleville - Quinte West","ON","Births",1026,"CMA","Pre-COVID"
"479","2019/2020","Belleville - Quinte West","ON","Births",1010,"CMA","Pre-COVID"
"480","2020/2021","Belleville - Quinte West","ON","Births",1063,"CMA","COVID"
"481","2021/2022","Belleville - Quinte West","ON","Births",1010,"CMA","COVID"
"482","2022/2023","Belleville - Quinte West","ON","Births",999,"CMA","Post-COVID"
"483","2023/2024","Belleville - Quinte West","ON","Births",1044,"CMA","Post-COVID"
"484","2017/2018","Belleville - Quinte West","ON","Deaths",1190,"CMA","Pre-COVID"
"485","2018/2019","Belleville - Quinte West","ON","Deaths",1155,"CMA","Pre-COVID"
"486","2019/2020","Belleville - Quinte West","ON","Deaths",1213,"CMA","Pre-COVID"
"487","2020/2021","Belleville - Quinte West","ON","Deaths",1224,"CMA","COVID"
"488","2021/2022","Belleville - Quinte West","ON","Deaths",1377,"CMA","COVID"
"489","2022/2023","Belleville - Quinte West","ON","Deaths",1469,"CMA","Post-COVID"
"490","2023/2024","Belleville - Quinte West","ON","Deaths",1513,"CMA","Post-COVID"
"491","2017/2018","Belleville - Quinte West","ON","Immigrants",153,"CMA","Pre-COVID"
"492","2018/2019","Belleville - Quinte West","ON","Immigrants",117,"CMA","Pre-COVID"
"493","2019/2020","Belleville - Quinte West","ON","Immigrants",104,"CMA","Pre-COVID"
"494","2020/2021","Belleville - Quinte West","ON","Immigrants",109,"CMA","COVID"
"495","2021/2022","Belleville - Quinte West","ON","Immigrants",359,"CMA","COVID"
"496","2022/2023","Belleville - Quinte West","ON","Immigrants",389,"CMA","Post-COVID"
"497","2023/2024","Belleville - Quinte West","ON","Immigrants",445,"CMA","Post-COVID"
"498","2017/2018","Belleville - Quinte West","ON","Emigrants",188,"CMA","Pre-COVID"
"499","2018/2019","Belleville - Quinte West","ON","Emigrants",184,"CMA","Pre-COVID"
"500","2019/2020","Belleville - Quinte West","ON","Emigrants",354,"CMA","Pre-COVID"
"501","2020/2021","Belleville - Quinte West","ON","Emigrants",167,"CMA","COVID"
"502","2021/2022","Belleville - Quinte West","ON","Emigrants",224,"CMA","COVID"
"503","2022/2023","Belleville - Quinte West","ON","Emigrants",261,"CMA","Post-COVID"
"504","2023/2024","Belleville - Quinte West","ON","Emigrants",268,"CMA","Post-COVID"
"505","2017/2018","Peterborough","ON","Births",1166,"CMA","Pre-COVID"
"506","2018/2019","Peterborough","ON","Births",1099,"CMA","Pre-COVID"
"507","2019/2020","Peterborough","ON","Births",1118,"CMA","Pre-COVID"
"508","2020/2021","Peterborough","ON","Births",1130,"CMA","COVID"
"509","2021/2022","Peterborough","ON","Births",1127,"CMA","COVID"
"510","2022/2023","Peterborough","ON","Births",1026,"CMA","Post-COVID"
"511","2023/2024","Peterborough","ON","Births",1072,"CMA","Post-COVID"
"512","2017/2018","Peterborough","ON","Deaths",1467,"CMA","Pre-COVID"
"513","2018/2019","Peterborough","ON","Deaths",1442,"CMA","Pre-COVID"
"514","2019/2020","Peterborough","ON","Deaths",1442,"CMA","Pre-COVID"
"515","2020/2021","Peterborough","ON","Deaths",1453,"CMA","COVID"
"516","2021/2022","Peterborough","ON","Deaths",1573,"CMA","COVID"
"517","2022/2023","Peterborough","ON","Deaths",1761,"CMA","Post-COVID"
"518","2023/2024","Peterborough","ON","Deaths",1815,"CMA","Post-COVID"
"519","2017/2018","Peterborough","ON","Immigrants",205,"CMA","Pre-COVID"
"520","2018/2019","Peterborough","ON","Immigrants",195,"CMA","Pre-COVID"
"521","2019/2020","Peterborough","ON","Immigrants",191,"CMA","Pre-COVID"
"522","2020/2021","Peterborough","ON","Immigrants",199,"CMA","COVID"
"523","2021/2022","Peterborough","ON","Immigrants",681,"CMA","COVID"
"524","2022/2023","Peterborough","ON","Immigrants",546,"CMA","Post-COVID"
"525","2023/2024","Peterborough","ON","Immigrants",580,"CMA","Post-COVID"
"526","2017/2018","Peterborough","ON","Emigrants",121,"CMA","Pre-COVID"
"527","2018/2019","Peterborough","ON","Emigrants",161,"CMA","Pre-COVID"
"528","2019/2020","Peterborough","ON","Emigrants",66,"CMA","Pre-COVID"
"529","2020/2021","Peterborough","ON","Emigrants",93,"CMA","COVID"
"530","2021/2022","Peterborough","ON","Emigrants",146,"CMA","COVID"
"531","2022/2023","Peterborough","ON","Emigrants",251,"CMA","Post-COVID"
"532","2023/2024","Peterborough","ON","Emigrants",258,"CMA","Post-COVID"
"533","2017/2018","Oshawa","ON","Births",4199,"CMA","Pre-COVID"
"534","2018/2019","Oshawa","ON","Births",4296,"CMA","Pre-COVID"
"535","2019/2020","Oshawa","ON","Births",4337,"CMA","Pre-COVID"
"536","2020/2021","Oshawa","ON","Births",4400,"CMA","COVID"
"537","2021/2022","Oshawa","ON","Births",4775,"CMA","COVID"
"538","2022/2023","Oshawa","ON","Births",4826,"CMA","Post-COVID"
"539","2023/2024","Oshawa","ON","Births",5042,"CMA","Post-COVID"
"540","2017/2018","Oshawa","ON","Deaths",2966,"CMA","Pre-COVID"
"541","2018/2019","Oshawa","ON","Deaths",2867,"CMA","Pre-COVID"
"542","2019/2020","Oshawa","ON","Deaths",2904,"CMA","Pre-COVID"
"543","2020/2021","Oshawa","ON","Deaths",3292,"CMA","COVID"
"544","2021/2022","Oshawa","ON","Deaths",3286,"CMA","COVID"
"545","2022/2023","Oshawa","ON","Deaths",3429,"CMA","Post-COVID"
"546","2023/2024","Oshawa","ON","Deaths",3532,"CMA","Post-COVID"
"547","2017/2018","Oshawa","ON","Immigrants",1369,"CMA","Pre-COVID"
"548","2018/2019","Oshawa","ON","Immigrants",1510,"CMA","Pre-COVID"
"549","2019/2020","Oshawa","ON","Immigrants",1344,"CMA","Pre-COVID"
"550","2020/2021","Oshawa","ON","Immigrants",1303,"CMA","COVID"
"551","2021/2022","Oshawa","ON","Immigrants",3258,"CMA","COVID"
"552","2022/2023","Oshawa","ON","Immigrants",3799,"CMA","Post-COVID"
"553","2023/2024","Oshawa","ON","Immigrants",3918,"CMA","Post-COVID"
"554","2017/2018","Oshawa","ON","Emigrants",713,"CMA","Pre-COVID"
"555","2018/2019","Oshawa","ON","Emigrants",647,"CMA","Pre-COVID"
"556","2019/2020","Oshawa","ON","Emigrants",556,"CMA","Pre-COVID"
"557","2020/2021","Oshawa","ON","Emigrants",492,"CMA","COVID"
"558","2021/2022","Oshawa","ON","Emigrants",859,"CMA","COVID"
"559","2022/2023","Oshawa","ON","Emigrants",753,"CMA","Post-COVID"
"560","2023/2024","Oshawa","ON","Emigrants",778,"CMA","Post-COVID"
"561","2017/2018","Toronto","ON","Births",64462,"CMA","Pre-COVID"
"562","2018/2019","Toronto","ON","Births",64457,"CMA","Pre-COVID"
"563","2019/2020","Toronto","ON","Births",64304,"CMA","Pre-COVID"
"564","2020/2021","Toronto","ON","Births",60289,"CMA","COVID"
"565","2021/2022","Toronto","ON","Births",59835,"CMA","COVID"
"566","2022/2023","Toronto","ON","Births",58900,"CMA","Post-COVID"
"567","2023/2024","Toronto","ON","Births",61537,"CMA","Post-COVID"
"568","2017/2018","Toronto","ON","Deaths",35062,"CMA","Pre-COVID"
"569","2018/2019","Toronto","ON","Deaths",35116,"CMA","Pre-COVID"
"570","2019/2020","Toronto","ON","Deaths",38256,"CMA","Pre-COVID"
"571","2020/2021","Toronto","ON","Deaths",40840,"CMA","COVID"
"572","2021/2022","Toronto","ON","Deaths",39183,"CMA","COVID"
"573","2022/2023","Toronto","ON","Deaths",41060,"CMA","Post-COVID"
"574","2023/2024","Toronto","ON","Deaths",42348,"CMA","Post-COVID"
"575","2017/2018","Toronto","ON","Immigrants",102765,"CMA","Pre-COVID"
"576","2018/2019","Toronto","ON","Immigrants",106712,"CMA","Pre-COVID"
"577","2019/2020","Toronto","ON","Immigrants",96771,"CMA","Pre-COVID"
"578","2020/2021","Toronto","ON","Immigrants",78832,"CMA","COVID"
"579","2021/2022","Toronto","ON","Immigrants",159675,"CMA","COVID"
"580","2022/2023","Toronto","ON","Immigrants",134539,"CMA","Post-COVID"
"581","2023/2024","Toronto","ON","Immigrants",128511,"CMA","Post-COVID"
"582","2017/2018","Toronto","ON","Emigrants",25026,"CMA","Pre-COVID"
"583","2018/2019","Toronto","ON","Emigrants",24009,"CMA","Pre-COVID"
"584","2019/2020","Toronto","ON","Emigrants",20981,"CMA","Pre-COVID"
"585","2020/2021","Toronto","ON","Emigrants",16655,"CMA","COVID"
"586","2021/2022","Toronto","ON","Emigrants",25456,"CMA","COVID"
"587","2022/2023","Toronto","ON","Emigrants",27109,"CMA","Post-COVID"
"588","2023/2024","Toronto","ON","Emigrants",27918,"CMA","Post-COVID"
"589","2017/2018","Hamilton","ON","Births",7757,"CMA","Pre-COVID"
"590","2018/2019","Hamilton","ON","Births",7590,"CMA","Pre-COVID"
"591","2019/2020","Hamilton","ON","Births",7745,"CMA","Pre-COVID"
"592","2020/2021","Hamilton","ON","Births",7640,"CMA","COVID"
"593","2021/2022","Hamilton","ON","Births",7942,"CMA","COVID"
"594","2022/2023","Hamilton","ON","Births",7463,"CMA","Post-COVID"
"595","2023/2024","Hamilton","ON","Births",7798,"CMA","Post-COVID"
"596","2017/2018","Hamilton","ON","Deaths",6900,"CMA","Pre-COVID"
"597","2018/2019","Hamilton","ON","Deaths",6628,"CMA","Pre-COVID"
"598","2019/2020","Hamilton","ON","Deaths",7039,"CMA","Pre-COVID"
"599","2020/2021","Hamilton","ON","Deaths",7174,"CMA","COVID"
"600","2021/2022","Hamilton","ON","Deaths",7714,"CMA","COVID"
"601","2022/2023","Hamilton","ON","Deaths",7812,"CMA","Post-COVID"
"602","2023/2024","Hamilton","ON","Deaths",8048,"CMA","Post-COVID"
"603","2017/2018","Hamilton","ON","Immigrants",4179,"CMA","Pre-COVID"
"604","2018/2019","Hamilton","ON","Immigrants",4493,"CMA","Pre-COVID"
"605","2019/2020","Hamilton","ON","Immigrants",4091,"CMA","Pre-COVID"
"606","2020/2021","Hamilton","ON","Immigrants",3762,"CMA","COVID"
"607","2021/2022","Hamilton","ON","Immigrants",7882,"CMA","COVID"
"608","2022/2023","Hamilton","ON","Immigrants",7360,"CMA","Post-COVID"
"609","2023/2024","Hamilton","ON","Immigrants",7327,"CMA","Post-COVID"
"610","2017/2018","Hamilton","ON","Emigrants",2240,"CMA","Pre-COVID"
"611","2018/2019","Hamilton","ON","Emigrants",1970,"CMA","Pre-COVID"
"612","2019/2020","Hamilton","ON","Emigrants",1366,"CMA","Pre-COVID"
"613","2020/2021","Hamilton","ON","Emigrants",1361,"CMA","COVID"
"614","2021/2022","Hamilton","ON","Emigrants",2156,"CMA","COVID"
"615","2022/2023","Hamilton","ON","Emigrants",2201,"CMA","Post-COVID"
"616","2023/2024","Hamilton","ON","Emigrants",2262,"CMA","Post-COVID"
"617","2017/2018","St. Catharines - Niagara","ON","Births",3560,"CMA","Pre-COVID"
"618","2018/2019","St. Catharines - Niagara","ON","Births",3642,"CMA","Pre-COVID"
"619","2019/2020","St. Catharines - Niagara","ON","Births",3688,"CMA","Pre-COVID"
"620","2020/2021","St. Catharines - Niagara","ON","Births",3769,"CMA","COVID"
"621","2021/2022","St. Catharines - Niagara","ON","Births",3875,"CMA","COVID"
"622","2022/2023","St. Catharines - Niagara","ON","Births",3814,"CMA","Post-COVID"
